epoch_time,id,date_time,keyword,page
142397761177,515b8727fdc59278db00bec9,2011-11-25T00:00:00Z,"budget deficit",16
142397762237,4fd11bf08eb7c8105d5d8338,1981-09-25T00:00:00Z,"budget deficit",17
142397762238,4fd1945a8eb7c8105d69f2f8,1990-10-20T00:00:00Z,"budget deficit",17
142397762239,4fc0d42445c1498b0d4a8b83,1932-06-29T00:00:00Z,"budget deficit",17
142397762240,4fd19d248eb7c8105d6aee3d,1990-10-11T00:00:00Z,"budget deficit",17
142397762241,4fd19b958eb7c8105d6ac5e0,1990-10-09T00:00:00Z,"budget deficit",17
142397762242,4fd1e0518eb7c8105d726e4e,1993-08-06T00:00:00Z,"budget deficit",17
142397762242,4fd1b09b8eb7c8105d6d222e,1990-10-04T00:00:00Z,"budget deficit",17
142397762243,4fd1a5178eb7c8105d6bda88,1990-10-16T00:00:00Z,"budget deficit",17
142397762244,54467616798810347c1a9a77,2010-05-24T00:00:00Z,"budget deficit",17
142397762245,546a00b97988101de50ed8d3,2009-04-30T00:00:00Z,"budget deficit",17
142397763335,4fc0d42445c1498b0d4a8b83,1932-06-29T00:00:00Z,"budget deficit",18
142397763336,4fd145c98eb7c8105d620782,1984-07-13T00:00:00Z,"budget deficit",18
142397763337,4fd11e2c8eb7c8105d5dc75c,1982-02-07T00:00:00Z,"budget deficit",18
142397763337,4fd11e938eb7c8105d5dd728,1982-03-17T00:00:00Z,"budget deficit",18
142397763338,54b633ca79881025bee96400,2015-01-14T04:13:48Z,"budget deficit",18
142397763339,4fd197088eb7c8105d6a494e,1990-10-20T00:00:00Z,"budget deficit",18
142397763340,52c367437988104830de73a5,2014-01-01T00:00:00Z,"budget deficit",18
142397763341,4fd197088eb7c8105d6a4937,1990-10-20T00:00:00Z,"budget deficit",18
142397763342,4fd1cfaf8eb7c8105d7085bb,1991-07-03T00:00:00Z,"budget deficit",18
142397763343,4fd1a51d8eb7c8105d6be098,1990-10-15T00:00:00Z,"budget deficit",18
142397764405,4fd1a47c8eb7c8105d6bc97a,1991-07-01T00:00:00Z,"budget deficit",19
142397764406,548ba71979881004157bbcbb,2007-06-22T00:00:00Z,"budget deficit",19
142397764407,54b5bb6979881025bee962aa,2015-01-13T19:40:58Z,"budget deficit",19
142397764407,4fd179bf8eb7c8105d671767,1987-01-06T00:00:00Z,"budget deficit",19
142397764408,4fd1a5168eb7c8105d6bda2a,1990-10-09T00:00:00Z,"budget deficit",19
142397764409,4fd19cd78eb7c8105d6ae700,1990-10-11T00:00:00Z,"budget deficit",19
142397764410,5417bce879881018c378fdf2,2010-06-23T00:00:00Z,"budget deficit",19
142397764411,4fd196818eb7c8105d6a3ba4,1990-10-05T00:00:00Z,"budget deficit",19
142397764412,4fd1990e8eb7c8105d6a88c6,1990-10-22T00:00:00Z,"budget deficit",19
142397764413,4fd11d7d8eb7c8105d5dbaf9,1982-02-11T00:00:00Z,"budget deficit",19
142397765478,515b526ffdc59278db008172,2012-06-11T00:00:00Z,"budget deficit",20
142397765479,515b8961fdc59278db00c163,2011-11-17T00:00:00Z,"budget deficit",20
142397765480,515b8e1dfdc59278db00c73f,2011-10-31T00:00:00Z,"budget deficit",20
142397765481,4fd1c6718eb7c8105d6f76e0,1995-02-03T00:00:00Z,"budget deficit",20
142397765482,4fd1b15e8eb7c8105d6d37d5,1990-10-05T00:00:00Z,"budget deficit",20
142397765483,4fd1a51b8eb7c8105d6bde68,1990-10-03T00:00:00Z,"budget deficit",20
142397765484,4fd121d58eb7c8105d5e40fe,1981-02-06T00:00:00Z,"budget deficit",20
142397765485,5411373d79881060c5af8e94,2011-08-10T00:00:00Z,"budget deficit",20
142397765485,4fd1b1628eb7c8105d6d3ad2,1990-10-04T00:00:00Z,"budget deficit",20
142397765486,4fd197128eb7c8105d6a4fac,1990-10-03T00:00:00Z,"budget deficit",20
142397766534,4fd1a51c8eb7c8105d6bdea9,1990-10-08T00:00:00Z,"budget deficit",21
142397766534,4fd1b8e18eb7c8105d6e1300,1993-04-09T00:00:00Z,"budget deficit",21
142397766535,512b6ac2cf28d009de001dba,2013-02-25T07:27:48Z,"budget deficit",21
142397766537,4fd1c6728eb7c8105d6f76f8,1995-02-03T00:00:00Z,"budget deficit",21
142397766539,54b37cf579881019b02c25a6,2015-01-12T02:50:33Z,"budget deficit",21
142397766540,4fd19cdd8eb7c8105d6aeafe,1990-10-19T00:00:00Z,"budget deficit",21
142397766541,4fd1a51b8eb7c8105d6bde77,1990-10-03T00:00:00Z,"budget deficit",21
142397766543,4fd1bb298eb7c8105d6e5992,1993-07-30T00:00:00Z,"budget deficit",21
142397766544,4fd19cd98eb7c8105d6ae802,1990-10-09T00:00:00Z,"budget deficit",21
142397766545,4fd19cdf8eb7c8105d6aec0e,1990-10-15T00:00:00Z,"budget deficit",21
142397767723,4fd187ac8eb7c8105d68746f,1989-02-05T00:00:00Z,"budget deficit",22
142397767724,4fd194628eb7c8105d69f8e2,1990-10-10T00:00:00Z,"budget deficit",22
142397767725,4fd199128eb7c8105d6a8c30,1990-10-05T00:00:00Z,"budget deficit",22
142397767725,4fd1d0828eb7c8105d70a3e8,1993-08-07T00:00:00Z,"budget deficit",22
142397767726,5496ae3f79881029b367dee9,2014-12-21T06:23:45Z,"budget deficit",22
142397767727,4fd1b0928eb7c8105d6d1b63,1990-10-09T00:00:00Z,"budget deficit",22
142397767728,515b8886fdc59278db00c050,2011-11-21T00:00:00Z,"budget deficit",22
142397767729,5401f6cd79881025dec00301,2011-10-11T00:00:00Z,"budget deficit",22
142397767730,4fc0b0ed45c1498b0d4078f5,1924-07-28T00:00:00Z,"budget deficit",22
142397767731,4fd1b23a8eb7c8105d6d541c,1990-10-08T00:00:00Z,"budget deficit",22
142397768820,4fd1a5158eb7c8105d6bd890,1990-10-11T00:00:00Z,"budget deficit",23
142397768821,4fd199148eb7c8105d6a8d87,1990-10-12T00:00:00Z,"budget deficit",23
142397768822,4fd1b09a8eb7c8105d6d20db,1990-10-08T00:00:00Z,"budget deficit",23
142397768823,4fd1b0968eb7c8105d6d1ea1,1990-10-12T00:00:00Z,"budget deficit",23
142397768823,4fd1b0968eb7c8105d6d1e80,1990-10-21T00:00:00Z,"budget deficit",23
142397768824,4fc0927445c1498b0d379037,1922-12-24T00:00:00Z,"budget deficit",23
142397768825,4fd22c5c8eb7c8105d7b880d,2003-06-26T00:00:00Z,"budget deficit",23
142397768826,4fd1e0508eb7c8105d726d3f,1993-08-07T00:00:00Z,"budget deficit",23
142397768827,4fd199148eb7c8105d6a8d8b,1990-10-12T00:00:00Z,"budget deficit",23
142397768828,4fd167de8eb7c8105d656d1c,1986-02-06T00:00:00Z,"budget deficit",23
142397769938,54af9b7079881022e94b3932,2015-01-09T04:09:17Z,"budget deficit",24
142397769938,4fc0828545c1498b0d3313b6,1924-03-31T00:00:00Z,"budget deficit",24
142397769939,4fd209248eb7c8105d774b5e,1998-01-06T00:00:00Z,"budget deficit",24
142397769940,4fd170068eb7c8105d662615,1986-05-15T00:00:00Z,"budget deficit",24
142397769941,4fd135708eb7c8105d6065a5,1982-05-29T00:00:00Z,"budget deficit",24
142397769942,4fd19b6b8eb7c8105d6ac412,1990-01-28T00:00:00Z,"budget deficit",24
142397769942,4fd15d068eb7c8105d643eb6,1986-08-10T00:00:00Z,"budget deficit",24
142397769943,50d1f99100315214fbb801e0,2012-12-19T00:00:00Z,"budget deficit",24
142397769944,4fd1a51d8eb7c8105d6be086,1990-10-15T00:00:00Z,"budget deficit",24
142397769945,4fd1945f8eb7c8105d69f728,1990-10-05T00:00:00Z,"budget deficit",24
142397771006,4fc0c0ae45c1498b0d451529,1931-11-04T00:00:00Z,"budget deficit",25
142397771007,4fd2571a8eb7c8105d8012da,2005-02-08T00:00:00Z,"budget deficit",25
142397771008,4fc0c16845c1498b0d454b1b,1932-08-02T00:00:00Z,"budget deficit",25
142397771008,54b56e1d79881025bee9604e,2015-01-13T14:10:07Z,"budget deficit",25
142397771009,515a83edfdc59278db004f1f,2011-11-16T00:00:00Z,"budget deficit",25
142397771010,4fd277298eb7c8105d838803,2003-09-02T00:00:00Z,"budget deficit",25
142397771011,4fd23ba58eb7c8105d7d0632,2002-11-04T00:00:00Z,"budget deficit",25
142397771011,54758de6798810593e50e60d,2008-12-17T00:00:00Z,"budget deficit",25
142397771012,507c49e695e998af71184f27,2012-09-29T00:00:00Z,"budget deficit",25
142397771013,54461cc5798810347c1a92a0,2010-05-13T00:00:00Z,"budget deficit",25
142397772074,548ea86979881018ac4ba93d,2007-02-06T00:00:00Z,"budget deficit",26
142397772075,4fc0cd9945c1498b0d48be5b,1932-03-11T00:00:00Z,"budget deficit",26
142397772076,54db13167988107c0372bc3d,2015-02-11T00:00:00Z,"budget deficit",26
142397772077,5400e5a879881068a1947c02,2011-09-12T00:00:00Z,"budget deficit",26
142397772077,4fd2004a8eb7c8105d763096,1995-05-18T00:00:00Z,"budget deficit",26
142397772078,4fc1d2bd45c1498b0d4ae508,1933-07-01T00:00:00Z,"budget deficit",26
142397772079,4fd119fe8eb7c8105d5d376a,1981-12-17T00:00:00Z,"budget deficit",26
142397772080,4fd175368eb7c8105d66a4cd,1987-10-22T00:00:00Z,"budget deficit",26
142397772081,4fd128488eb7c8105d5ef32d,1982-11-10T00:00:00Z,"budget deficit",26
142397772082,543566f6798810520e354a1c,2014-10-08T12:09:56Z,"budget deficit",26
142397773223,4fc0c16645c1498b0d45493f,1932-03-20T00:00:00Z,"budget deficit",27
142397773224,4fc0b95745c1498b0d42edee,1932-07-02T00:00:00Z,"budget deficit",27
142397773227,54d1d7687988101ab1b3df37,2015-02-04T03:21:58Z,"budget deficit",27
142397773228,4fd27aa18eb7c8105d83f06f,2004-01-27T00:00:00Z,"budget deficit",27
142397773230,4fd1e25c8eb7c8105d72afd7,1997-10-04T00:00:00Z,"budget deficit",27
142397773232,4fc1d34e45c1498b0d4b0f70,1933-07-02T00:00:00Z,"budget deficit",27
